study_hours,attendance,sleep_hours,previous_gpa,assignments_completed,internet_hours,parent_education,extracurricular_hours,monthly_expense,exam_score
7.64,87.26,8.54,3.43,6,4.53,3,3.26,26360.73,100.0
6.18,97.09,8.02,2.7,7,5.24,4,4.73,22263.29,100.0
7.99,64.01,7.07,2.55,6,2.9,2,5.91,20576.04,100.0
10.0,83.63,6.29,3.0,7,2.4,4,1.89,20277.84,100.0
5.96,71.49,7.77,2.91,4,1.55,2,3.24,14663.29,100.0
5.96,73.13,7.43,2.75,8,2.01,2,3.35,17219.64,100.0
10.13,72.08,7.98,3.38,8,8.81,1,2.79,28014.42,100.0
8.27,69.36,7.7,3.53,6,5.74,1,2.35,12344.65,100.0
5.42,78.49,8.15,3.05,9,1.07,3,3.15,27688.67,100.0
7.75,69.69,6.41,3.81,9,1.12,2,0.0,16067.83,100.0
5.43,80.7,8.45,2.37,4,4.37,1,3.52,25952.59,100.0
5.43,77.5,7.22,2.89,6,4.49,2,2.69,9559.11,100.0
7.06,75.61,9.28,2.61,6,4.49,2,2.17,21515.43,100.0
2.1,68.92,6.24,1.97,6,3.04,2,5.57,13579.38,99.8
2.53,72.23,8.91,2.95,9,3.27,2,1.49,9508.4,100.0
5.21,85.55,7.22,2.93,7,4.09,3,1.9,19311.2,100.0
4.17,83.01,6.28,3.83,7,3.65,3,5.49,24056.83,100.0
7.22,68.22,6.47,3.35,3,0.5,2,1.25,12930.35,100.0
4.41,78.99,6.65,2.44,9,3.09,2,1.67,9005.9,100.0
3.25,85.51,7.47,4.0,5,1.97,2,2.28,17448.93,100.0
9.87,61.31,7.58,3.67,8,3.82,3,3.76,17475.39,100.0
5.98,83.43,6.37,3.32,8,8.87,2,2.81,21289.92,100.0
6.66,71.37,6.97,2.88,10,4.16,1,0.56,23697.57,100.0
3.22,83.71,9.36,2.47,5,2.94,1,1.7,17643.51,98.22
5.25,70.37,8.9,2.8,1,5.16,2,1.59,29133.02,100.0
6.76,59.95,7.48,3.6,8,4.37,2,2.38,19345.41,100.0
3.85,61.72,7.04,4.0,10,4.26,3,3.14,15921.44,100.0
7.36,78.48,7.13,3.85,10,4.59,1,3.13,8330.6,100.0
5.12,80.6,7.67,2.73,8,7.2,2,0.0,16424.04,100.0
5.83,68.96,5.87,2.38,7,1.46,3,4.1,15981.68,100.0
5.12,84.39,6.72,3.08,9,4.35,3,2.88,23761.83,100.0
10.76,61.38,5.16,2.03,6,1.83,2,4.58,20774.9,100.0
6.47,77.34,7.44,3.18,8,4.5,2,3.17,10923.79,100.0
4.07,65.89,7.71,2.92,9,1.85,2,4.15,19033.53,100.0
8.39,71.48,6.47,2.74,10,2.75,4,3.2,22029.19,100.0
3.69,78.47,8.73,2.12,10,2.97,1,4.52,27168.19,100.0
6.98,69.4,5.65,3.28,8,5.26,4,3.28,23325.02,100.0
1.99,74.15,5.39,2.71,6,5.15,3,2.35,22565.08,100.0
3.45,88.06,7.25,2.36,7,1.26,2,5.91,18360.52,100.0
6.95,72.23,8.15,1.5,4,3.6,0,3.83,20329.87,100.0
8.2,86.36,8.85,2.98,6,2.22,2,3.36,25497.03,100.0
6.89,66.7,6.5,3.97,7,1.23,2,0.59,10003.34,100.0
6.23,83.3,8.19,3.91,6,3.11,1,0.57,15903.36,100.0
5.81,92.42,6.96,2.75,8,2.94,3,2.94,13364.59,100.0
3.1,53.28,6.81,2.67,6,7.87,4,2.72,20274.92,100.0
4.84,70.03,7.97,3.26,10,4.28,2,1.58,25381.33,100.0
5.44,83.77,7.72,2.45,8,1.02,3,2.71,14418.15,100.0
8.93,75.97,5.27,3.17,7,2.48,1,4.88,5000.0,100.0
7.29,81.71,8.62,3.42,7,5.34,2,3.54,15526.68,100.0
2.45,71.96,8.52,3.67,8,7.26,1,0.79,23480.84,100.0
7.25,78.87,6.31,2.94,9,0.65,2,2.33,21225.78,100.0
5.61,76.44,7.44,2.89,6,0.5,4,1.29,20569.12,100.0
4.94,89.68,7.54,2.52,6,6.87,3,1.92,16320.04,100.0
7.91,80.54,7.29,2.55,7,4.2,1,1.88,10325.82,100.0
8.87,81.38,6.39,2.88,5,1.94,2,1.78,21091.77,100.0
8.64,73.88,6.26,3.2,6,4.46,2,0.62,12994.31,100.0
4.57,73.12,6.97,3.5,7,0.5,2,2.31,31104.58,100.0
5.79,73.67,8.29,2.56,9,3.51,3,1.66,21423.04,100.0
7.26,81.94,7.6,3.82,8,4.09,3,0.0,14516.11,100.0
8.74,73.79,6.59,2.85,8,5.16,2,5.58,14331.69,100.0
5.4,80.9,7.85,2.99,9,1.67,2,4.13,17442.33,100.0
6.07,98.75,4.0,2.59,7,3.65,2,1.94,16562.99,100.0
3.96,86.71,8.26,1.67,8,1.83,1,2.53,24701.0,98.73
3.75,74.74,5.09,3.49,7,3.96,2,0.74,19118.5,100.0
8.37,90.01,6.6,3.41,8,1.89,2,5.04,13610.21,100.0
9.62,73.92,5.77,2.85,6,2.77,3,5.35,29342.64,100.0
6.33,57.62,5.58,3.04,3,1.71,3,2.74,18295.85,100.0
8.81,67.92,8.28,3.28,7,4.67,1,4.04,22613.04,100.0
7.33,59.29,6.49,2.14,10,5.05,2,2.76,14350.64,100.0
