student_id,age,gender,department,study_hours,attendance,sleep_hours,previous_gpa,assignments_completed,internet_hours,extracurricular_hours,monthly_expense,parent_education,part_time_job,exam_score
1,19,Male,CSE,9.03,88.52,8.28,3.37,10,6.42,2.17,24590.92,Bachelor,No,100.0
2,24,Male,CSE,7.96,57.99,6.27,3.46,7,4.72,1.75,14932.36,Master,No,100.0
3,20,Female,AIML,8.91,80.13,6.69,2.51,4,4.88,2.97,11762.93,Bachelor,No,100.0
4,18,Female,MECH,7.07,92.97,5.93,1.74,10,4.91,2.45,25007.81,Master,No,100.0
5,23,Female,CSE,5.82,88.64,4.86,2.72,8,4.2,2.52,25512.6,Bachelor,No,100.0
6,23,Male,MECH,7.85,77.66,6.27,2.12,10,6.11,2.41,29741.41,Bachelor,No,100.0
7,23,Male,EEE,8.06,67.56,5.82,3.38,4,5.71,0.0,20221.01,School,No,100.0
8,22,Female,AIML,6.76,145.0,5.78,3.55,9,3.12,0.82,14613.99,Bachelor,No,100.0
9,22,Male,MECH,6.38,73.04,3.5,2.18,7,1.89,0.2,21131.91,Master,Yes,83.55
10,21,Female,ECE,4.23,71.56,7.53,3.38,6,3.53,4.3,10314.74,Bachelor,No,100.0
11,25,Female,AIML,3.68,74.59,7.17,3.46,7,7.83,0.34,9819.88,Master,No,100.0
12,23,Other,AIML,8.11,74.08,6.44,3.35,7,5.59,2.94,19697.35,Bachelor,No,100.0
13,22,Male,EEE,7.29,72.14,,2.29,7,4.77,0.25,23358.19,Bachelor,No,100.0
14,22,Female,MECH,4.68,66.01,7.78,2.62,6,6.62,3.1,25268.97,Master,No,100.0
15,20,Male,ECE,5.57,80.51,5.86,3.33,8,4.9,1.22,24905.06,School,Yes,100.0
16,24,Male,CSE,2.92,77.2,5.68,3.04,2,2.77,2.53,23532.54,Bachelor,No,88.07
17,23,Male,AIML,5.98,87.65,4.77,1.89,7,4.73,1.2,22066.49,Master,No,98.44
18,21,Female,CSE,4.65,96.23,8.59,3.19,9,3.56,2.99,11261.45,Master,No,100.0
19,18,Male,ECE,8.75,91.99,6.34,3.5,8,5.14,2.32,21032.9,Master,Yes,100.0
20,19,Male,AIML,9.3,92.49,7.88,3.23,8,4.81,1.52,13786.58,School,No,100.0
21,25,Female,AIML,5.79,85.88,7.33,3.27,3,4.86,3.4,30521.8,Master,No,100.0
22,18,Female,ECE,8.83,82.25,5.24,2.83,2,4.59,2.87,15019.65,PhD,Yes,100.0
23,25,Male,CSE,1.0,74.07,7.06,3.54,3,4.02,6.41,8270.0,Master,No,97.34
24,25,Female,AIML,3.58,77.88,7.11,2.85,5,5.14,3.86,17414.26,Bachelor,No,100.0
25,22,Male,EEE,5.37,63.37,8.12,2.71,7,2.69,2.19,26433.41,School,No,100.0
26,19,Female,EEE,5.77,70.78,6.71,3.93,2,4.66,0.54,-500.0,Bachelor,Yes,100.0
27,18,Male,AIML,9.46,95.32,7.02,4.0,7,0.81,1.65,7955.78,Master,Yes,100.0
28,24,Female,ECE,4.9,87.33,6.37,2.92,3,3.01,1.52,22411.58,PhD,Yes,96.29
29,19,Male,AIML,6.46,80.73,7.04,2.9,8,2.99,3.0,15922.87,Bachelor,No,100.0
30,22,Female,EEE,7.71,80.97,6.98,2.65,7,0.81,3.68,27449.71,School,No,100.0
31,21,Male,ECE,5.31,69.46,6.52,2.88,8,3.65,3.22,19704.14,School,No,100.0
32,18,Male,ECE,1.0,88.32,8.22,,5,5.08,2.78,11267.55,Master,No,100.0
33,22,Female,EEE,7.24,85.4,6.1,3.19,9,5.37,3.86,20701.67,Bachelor,Yes,100.0
34,19,Male,CSE,1.05,79.12,9.99,2.34,9,4.43,3.1,19250.27,School,No,98.72
35,20,Female,EEE,5.09,66.07,7.03,1.79,7,4.84,1.05,19583.7,Bachelor,No,96.41
36,19,Male,CSE,11.37,77.54,5.08,4.0,9,0.5,2.52,32680.74,PhD,Yes,100.0
37,22,Male,CSE,4.35,95.48,5.87,2.6,8,5.27,0.0,14760.25,Bachelor,Yes,98.02
38,25,Male,CSE,7.58,83.54,7.5,2.0,7,0.5,5.41,15536.68,Master,No,100.0
39,25,Female,CSE,4.55,84.42,7.1,3.44,5,4.6,3.87,10700.95,Bachelor,No,95.17
40,23,Male,CSE,4.44,83.36,6.74,2.84,8,0.5,2.74,22212.72,School,Yes,93.75
41,22,Male,AIML,7.08,62.5,6.43,3.35,4,3.33,3.91,5000.0,PhD,Yes,91.97
42,19,Female,EEE,25.0,70.3,8.14,3.18,4,6.81,2.7,25393.56,Bachelor,Yes,100.0
43,25,Female,ECE,5.9,80.84,6.53,2.4,3,0.91,5.3,22812.68,School,No,95.21
44,23,Female,EEE,6.03,85.55,6.19,2.42,4,2.38,2.72,24656.69,Master,No,100.0
