,gender,matric_%,study_year,faculty,gpa_2023,accomodation,allowance,scholarship,study_hours,party_week,drinks_night,missed_classes,failed_classes,in_relationship,parent_approve,relation_parent
0,Female,76.0,2nd Year,Arts & Social Sciences,72.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,8+,3,0,Yes,Yes,Very close
1,Male,89.0,2nd Year,Economic & Management Sciences,75.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,"Yes (NSFAS, etc...)",8+,Only weekends,3-5,4+,0,No,Yes,Very close
2,Male,76.0,1st Year,AgriSciences,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,8+,3,0,No,Yes,Very close
3,Male,89.0,2nd Year,Engineering,84.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,3,8+,2,0,Yes,Yes,Very close
4,Female,74.0,2nd Year,Arts & Social Sciences,52.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,Only weekends,5-8,1,3,No,Yes,Fair
6,Male,80.0,2nd Year,Economic & Management Sciences,54.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,2,5-8,1,0,No,Yes,Very close
7,Female,85.0,2nd Year,Arts & Social Sciences,75.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,3,3-5,2,0,Yes,Yes,Very close
11,Female,80.0,2nd Year,Arts & Social Sciences,75.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,3,8+,0,0,No,Yes,Close
12,Male,79.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,3-5,2,4+,No,Yes,Very close
13,Female,72.0,2nd Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,1,3-5,0,0,Yes,Yes,Very close
15,Female,87.0,1st Year,Science,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,1-3,0,0,No,Yes,Very close
17,Male,74.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,4+,5-8,0,0,Yes,Yes,Very close
19,Male,69.0,2nd Year,Arts & Social Sciences,55.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,Only weekends,5-8,3,3,No,Yes,Very close
20,Male,79.0,2nd Year,Economic & Management Sciences,54.0,Non-private accommodation ie. Res,R 5001 - R 6000,No,5-8,2,0,0,1,No,Yes,Fair
21,Male,80.0,2nd Year,Engineering,62.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,Only weekends,5-8,0,2,No,Yes,Very close
23,Female,83.0,2nd Year,Law,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,3-5,2,4+,No,Yes,Very close
24,Female,78.0,1st Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,2,3-5,2,0,No,Yes,Very close
25,Male,74.0,2nd Year,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,2,8+,2,2,No,Yes,Very close
26,Male,83.0,3rd Year,Engineering,69.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,3-5,0,0,Yes,Yes,Very close
